stratum	universe	variant_class	endpoint	baseline	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
SAS	frozen_threeway_SNV	SNV	nonref	old_full	20	0.017042028263547504	-0.012722530205430403	0.04693485771446154	11	2	7
SAS	frozen_threeway_SNV	SNV	nonref	old_hprc	20	0.09176476757295493	-0.020762276458009536	0.22220728843692414	13	0	7
SAS	shared_new_sites	ALL	all	hprc	20	0.04000527128280584	-0.04652200725222627	0.13676432688038917	9	1	10
SAS	shared_new_sites	ALL	all	old_full	20	17.290160585865433	17.249091481857462	17.330009396004254	20	0	0
SAS	shared_new_sites	ALL	all	old_hprc	20	0.2859788583907563	0.20119640390750398	0.37903130779061817	20	0	0
SAS	shared_new_sites	ALL	nonref	hprc	20	0.21351949757932864	-0.08819110139596659	0.5254572411540014	11	0	9
SAS	shared_new_sites	ALL	nonref	old_full	20	13.281609008666106	12.653456670528822	13.950334187202214	20	0	0
SAS	shared_new_sites	ALL	nonref	old_hprc	20	0.3462729243351781	0.0509255552496496	0.6544438360050228	14	0	6
SAS	shared_new_sites	SNV	all	hprc	20	0.020397683507833442	-0.04129138773159735	0.08870245617249083	9	0	11
SAS	shared_new_sites	SNV	all	old_full	20	17.533520668701684	17.49912131247062	17.567770143077272	20	0	0
SAS	shared_new_sites	SNV	all	old_hprc	20	0.24341711123156973	0.18156459391062585	0.3133042058845081	20	0	0
SAS	shared_new_sites	SNV	nonref	hprc	20	0.12643540443564305	-0.10493073623209254	0.3736038651819759	11	0	9
SAS	shared_new_sites	SNV	nonref	old_full	20	13.515030363415082	12.901358912944898	14.167075383369625	20	0	0
SAS	shared_new_sites	SNV	nonref	old_hprc	20	0.22260198386924168	-0.01150103518148121	0.4604861417071279	12	0	8
SAS	shared_new_sites	SV_length_site	all	hprc	20	0.7660167130919215	-0.15660412663433765	1.6376377958014512	12	0	8
SAS	shared_new_sites	SV_length_site	all	old_full	20	14.101671309192199	13.654548617150809	14.56665506439262	20	0	0
SAS	shared_new_sites	SV_length_site	all	old_hprc	20	1.8628133704735372	1.0095735422106178	2.699407871821658	15	1	4
SAS	shared_new_sites	SV_length_site	nonref	hprc	20	1.578458681522743	0.06294704054273265	3.0330358501090267	12	2	6
SAS	shared_new_sites	SV_length_site	nonref	old_full	20	12.596719281956048	11.632138664167234	13.566257475605914	20	0	0
SAS	shared_new_sites	SV_length_site	nonref	old_hprc	20	2.445063447848961	0.9996641966988318	3.8773684071029533	14	1	5
SAS	shared_new_sites	small_complex	all	hprc	20	0.11989914768834042	-0.08597886366613959	0.3590330911305556	9	0	11
SAS	shared_new_sites	small_complex	all	old_full	20	16.183986954972728	16.108168538290155	16.260330355494617	20	0	0
SAS	shared_new_sites	small_complex	all	old_hprc	20	0.45938502014305493	0.25476946626283	0.6834599773419697	17	0	3
SAS	shared_new_sites	small_complex	nonref	hprc	20	0.4235869122505287	-0.08154111555837812	0.9811052966902368	11	0	9
SAS	shared_new_sites	small_complex	nonref	old_full	20	12.631578947368427	11.93175905874295	13.422268240118061	20	0	0
SAS	shared_new_sites	small_complex	nonref	old_hprc	20	0.6399058695750526	0.1410120862996675	1.1768702303683192	16	0	4
SAS	shared_new_sites	truth_SV_length	all	hprc	20	1.9657577679137561	0.3170226760310802	3.477743587022844	14	1	5
SAS	shared_new_sites	truth_SV_length	all	old_full	20	8.053265694356371	6.917810353260618	9.261719734055951	20	0	0
SAS	shared_new_sites	truth_SV_length	all	old_hprc	20	2.0925808497146425	0.5154307900246561	3.5470466951883584	14	1	5
SAS	shared_new_sites	truth_SV_length	nonref	hprc	20	1.9657577679137561	0.2661255561965731	3.4978138663335434	14	1	5
SAS	shared_new_sites	truth_SV_length	nonref	old_full	20	8.053265694356371	6.9006402274701575	9.29326759280505	20	0	0
SAS	shared_new_sites	truth_SV_length	nonref	old_hprc	20	2.0925808497146425	0.5171215773130942	3.562344942748101	14	1	5
