donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
NA21093	AE-ipd365	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	AE-ipd365	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	AE-ipd365	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	AE-ipd365	DRB1	9885	0	29920	21406	1028	9789	1	1	1	1	1	1
NA21093	AE-panel	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	AE-panel	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	AE-panel	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	AE-panel	DPA1	0	2	19550	19550	0	0	1	1	1	1	1	1
NA21093	AE-panel	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	AE-panel	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	AE-panel	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	AE-panel	DRB1	9885	0	29920	21406	1028	9789	1	1	1	1	1	1
